,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
17984,201410290TOR,Atlanta,ATL,102,Toronto,TOR,109,Toronto,TOR,Atlanta,ATL
17985,201410290UTA,Houston,HOU,104,Utah,UTA,93,Houston,HOU,Utah,UTA
17986,201410300CLE,New York,NYK,95,Cleveland,CLE,90,New York,NYK,Cleveland,CLE
17987,201410300DAL,Utah,UTA,102,Dallas,DAL,120,Dallas,DAL,Utah,UTA
17988,201410300LAC,Oklahoma City,OKC,90,LA Clippers,LAC,93,LA Clippers,LAC,Oklahoma City,OKC
17989,201410300MIN,Detroit,DET,91,Minnesota,MIN,97,Minnesota,MIN,Detroit,DET
17990,201410300ORL,Washington,WAS,105,Orlando,ORL,98,Washington,WAS,Orlando,ORL
17991,201410310CHI,Cleveland,CLE,114,Chicago,CHI,108,Cleveland,CLE,Chicago,CHI
17992,201410310IND,Memphis,MEM,97,Indiana,IND,89,Memphis,MEM,Indiana,IND
17993,201410310LAL,LA Clippers,LAC,118,LA Lakers,LAL,111,LA Clippers,LAC,LA Lakers,LAL
17994,201410310MIL,Philadelphia,PHI,81,Milwaukee,MIL,93,Milwaukee,MIL,Philadelphia,PHI
17995,201410310PHO,San Antonio,SAS,89,Phoenix,PHO,94,Phoenix,PHO,San Antonio,SAS
17996,201410310SAC,Portland,POR,94,Sacramento,SAC,103,Sacramento,SAC,Portland,POR
17997,201411010ATL,Indiana,IND,92,Atlanta,ATL,102,Atlanta,ATL,Indiana,IND
17998,201411010CHO,Memphis,MEM,71,Charlotte,CHO,69,Memphis,MEM,Charlotte,CHO
17999,201411010DET,Brooklyn,BRK,102,Detroit,DET,90,Brooklyn,BRK,Detroit,DET
18000,201411010GSW,LA Lakers,LAL,104,Golden State,GSW,127,Golden State,GSW,LA Lakers,LAL
18001,201411010HOU,Boston,BOS,90,Houston,HOU,104,Houston,HOU,Boston,BOS
18002,201411010MIN,Chicago,CHI,106,Minnesota,MIN,105,Chicago,CHI,Minnesota,MIN
18003,201411010NOP,Dallas,DAL,109,New Orleans,NOP,104,Dallas,DAL,New Orleans,NOP
18004,201411010OKC,Denver,DEN,91,Oklahoma City,OKC,102,Oklahoma City,OKC,Denver,DEN
18005,201411010ORL,Toronto,TOR,108,Orlando,ORL,95,Toronto,TOR,Orlando,ORL
18006,201411010PHI,Miami,MIA,114,Philadelphia,PHI,96,Miami,MIA,Philadelphia,PHI
18007,201411010UTA,Phoenix,PHO,91,Utah,UTA,118,Utah,UTA,Phoenix,PHO
18008,201411010WAS,Milwaukee,MIL,97,Washington,WAS,108,Washington,WAS,Milwaukee,MIL
18009,201411020LAC,Sacramento,SAC,98,LA Clippers,LAC,92,Sacramento,SAC,LA Clippers,LAC
18010,201411020MIA,Toronto,TOR,102,Miami,MIA,107,Miami,MIA,Toronto,TOR
18011,201411020NYK,Charlotte,CHO,93,New York,NYK,96,New York,NYK,Charlotte,CHO
18012,201411020POR,Golden State,GSW,95,Portland,POR,90,Golden State,GSW,Portland,POR
18013,201411030BRK,Oklahoma City,OKC,85,Brooklyn,BRK,116,Brooklyn,BRK,Oklahoma City,OKC
18014,201411030DAL,Boston,BOS,113,Dallas,DAL,118,Dallas,DAL,Boston,BOS
18015,201411030DEN,Sacramento,SAC,110,Denver,DEN,105,Sacramento,SAC,Denver,DEN
18016,201411030LAC,Utah,UTA,101,LA Clippers,LAC,107,LA Clippers,LAC,Utah,UTA
18017,201411030MEM,New Orleans,NOP,81,Memphis,MEM,93,Memphis,MEM,New Orleans,NOP
18018,201411030PHI,Houston,HOU,104,Philadelphia,PHI,93,Houston,HOU,Philadelphia,PHI
